"Arquivo";"Tipo";"Secao";"Chave";"LinhaTribo";"LinhaDeepSeek";"Tribo";"DeepSeek";"IdiomaTribo";"IdiomaDeepSeek"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Ovrsr_AssInterrogation DisAbstractItemAudioLog";"m_Description";"29";"29";"""Os Supervisores capturaram uma pessoa misteriosa e mascarada. Estão tentando descobrir sua identidade e os seus motivos.""";"""Os Supervisores capturam uma figura mascarada misteriosa e tentam descobrir suas motivações e identidade.""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Ovrsr_AssInterrogation DisAbstractItemAudioLog";"m_ItemName";"27";"27";"""Interrogatório do Baleeiro Assassino""";"""Interrogatório do Assassino Baleeiro""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Ovrsr_CampbellComplains DisAbstractItemAudioLog";"m_Description";"34";"34";"""Campbell comenta sobre os acontecimentos mais recentes, como a fuga de Corvo da Prisão Coldridge.""";"""Campbell reflete sobre os eventos recentes, incluindo a fuga de Corvo da Prisão de Coldridge.""";"PT/Misto";"PT/Misto"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Ovrsr_CampbellComplains DisAbstractItemAudioLog";"m_ItemName";"32";"32";"""Lamentação de Campbell""";"""Lamento de Campbell""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Ovrsr_MusicBoxSpec DisAbstractItemAudioLog";"m_Description";"39";"39";"""Um Supervisor comenta sobre a eficácia das caixas de músicas e sobre as possíveis consequências do seu uso.""";"""Um Supervisor avalia a eficácia do dispositivo Caixa de Música e pondera as ramificações de seu uso.""";"PT/Misto";"PT/Misto"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub01a_Havelock DisAbstractItemAudioLog";"m_Description";"49";"49";"""A primeira entrada dos diários militares de Havelock, constando a campanha dos Legalistas.""";"""O primeiro dos diários militares de Havelock que narram a campanha dos Legalistas.""";"PT/Misto";"PT/Misto"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub01a_Havelock DisAbstractItemAudioLog";"m_ItemName";"47";"47";"""Diário de Havelock: Entrada 1""";"""Registro de Havelock: Entrada Um""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub01a_Pendleton DisAbstractItemAudioLog";"m_Description";"54";"54";"""Lorde Pendleton chega ao Bar Cova do Cão.""";"""Lord Pendleton chega ao Pub Hound Pits.""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub01a_Pendleton DisAbstractItemAudioLog";"m_ItemName";"52";"52";"""Chegada do Pendleton""";"""A Chegada de Pendleton""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub01a_Piero DisAbstractItemAudioLog";"m_Description";"59";"59";"""Piero sugere que as baleias não podem ser a unica fonte de fluídos com grande concentração de energia.""";"""Piero considera que as baleias podem não ser a única fonte de fluidos de alta energia.""";"PT/Misto";"PT/Misto"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub01a_Piero DisAbstractItemAudioLog";"m_ItemName";"57";"57";"""Piero fala sobre a Energia Vital""";"""Piero Considera a Energia Vital""";"EN";"EN"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub01b_Callista DisAbstractItemAudioLog";"m_Description";"64";"64";"""Callista se prepara para ensinar um novo aluno.""";"""Callista se prepara para ensinar um novo pupilo.""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub01b_Callista DisAbstractItemAudioLog";"m_ItemName";"62";"62";"""Callista prepara um plano para a aula""";"""Callista Prepara um Plano de Aula""";"PT/Misto";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub01b_Havelock DisAbstractItemAudioLog";"m_Description";"69";"69";"""O segundo Diário Militar de Havelock fala da campanha dos Legalistas.""";"""O segundo dos diários militares de Havelock que narra a campanha dos Legalistas.""";"PT";"PT/Misto"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub01b_Havelock DisAbstractItemAudioLog";"m_ItemName";"67";"67";"""Diário de Havelock: Entrada 2""";"""Registro de Havelock: Entrada Dois""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub01b_Pendleton DisAbstractItemAudioLog";"m_Description";"74";"74";"""Lorde Pendleton grava a história de sua vida.""";"""Lord Pendleton registra a história de sua vida.""";"Indeterminado";"Indeterminado"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub01b_Pendleton DisAbstractItemAudioLog";"m_ItemName";"72";"72";"""Memórias de Lorde Pendleton: Capitulo 27""";"""Memórias do Lorde Pendleton: Capítulo 27""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub01b_Piero DisAbstractItemAudioLog";"m_Description";"79";"79";"""Piero começa a passar ds limites das funções orgânicas e mecânicas.""";"""Piero começa a cruzar os limites entre a função mecânica e a orgânica.""";"Indeterminado";"EN"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub01b_Piero DisAbstractItemAudioLog";"m_ItemName";"77";"77";"""Especulações de Piero sobre o Espirito""";"""A Especulação de Piero sobre o Espírito""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub02a_Havelock DisAbstractItemAudioLog";"m_Description";"84";"84";"""O terceiro Diário Militar de Havelock fala da campanha dos conspiradores.""";"""O terceiro dos diários militares de Havelock que narra a campanha dos Legalistas.""";"PT";"PT/Misto"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub02a_Havelock DisAbstractItemAudioLog";"m_ItemName";"82";"82";"""Diario de Havelock: Entrada 3""";"""Registro de Havelock: Entrada Três""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub02a_Pendleton DisAbstractItemAudioLog";"m_Description";"89";"89";"""Lord Pendleton grava a história de sua vida.""";"""Lord Pendleton registra a história de sua vida.""";"Indeterminado";"Indeterminado"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub02a_Pendleton DisAbstractItemAudioLog";"m_ItemName";"87";"87";"""Memórias de Lorde Pendleton: Capitulo 28""";"""Memórias do Lorde Pendleton: Capítulo 28""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub02a_Piero DisAbstractItemAudioLog";"m_Description";"94";"94";"""Piero é caçado em seus pesadelos, que lhe trazem tanta inspiração como visões preocupantes.""";"""Piero é assombrado em seus sonhos, que lhe trazem tanto inspiração quanto visões perturbadoras.""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub02a_Piero DisAbstractItemAudioLog";"m_ItemName";"92";"92";"""Pesadelos de Piero""";"""Os Sonhos Sombrios de Piero""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub02b_Callista_CurnowDead DisAbstractItemAudioLog";"m_Description";"104";"104";"""Callista recorda com carinho o seu tio, Geoff Curnow.""";"""Callista recorda com carinho as memórias do tio, Geoff Curnow.""";"PT";"PT/Misto"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub02b_Callista_CurnowDead DisAbstractItemAudioLog";"m_ItemName";"102";"102";"""Callista se recorda do seu tio.""";"""Callista Lembra-se do seu Tio.""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub02b_Pendleton DisAbstractItemAudioLog";"m_Description";"109";"109";"""Lorde Pendleton grava a história da sua vida.""";"""Lord Pendleton registra a história de sua vida.""";"Indeterminado";"Indeterminado"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub02b_Pendleton DisAbstractItemAudioLog";"m_ItemName";"107";"107";"""Memórias de Lorde Pendleton: Capitulo 32""";"""Memórias do Lorde Pendleton: Capítulo 32""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub02b_Piero DisAbstractItemAudioLog";"m_Description";"114";"114";"""As experiências de Piero revelam que pode haver mais sobre a Cova do Cão do que se sabe.""";"""Os experimentos de Piero revelam que pode haver mais nos Poços do Cão do que ele imagina.""";"PT/Misto";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub02b_Piero DisAbstractItemAudioLog";"m_ItemName";"112";"112";"""Notas sobre as Anomalias de Piero""";"""Notas de Piero sobre Anomalias""";"Indeterminado";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub02b_Samuel DisAbstractItemAudioLog";"m_Description";"119";"119";"""Samuel recupera um audiógrafo abandonado para gravar suas reflexões.""";"""Samuel recupera um audiografo abandonado para gravar seus pensamentos.""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub03a_Callista DisAbstractItemAudioLog";"m_ItemName";"122";"122";"""Callista Fala dormindo""";"""Callista Falando Enquanto Dorme""";"Indeterminado";"Indeterminado"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub03a_Pendleton DisAbstractItemAudioLog";"m_Description";"129";"129";"""Lorde Pendleton pensa alto sobre a morte de seus irmãos e o futuro da Lady Emily.""";"""Lord Pendleton reflete em voz alta sobre a morte de seus irmãos e o futuro de Lady Emily.""";"PT/Misto";"PT/Misto"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub03a_Pendleton DisAbstractItemAudioLog";"m_ItemName";"127";"127";"""Pendleton Retrata sua família""";"""Pendleton Reflete Sobre a Família""";"Indeterminado";"EN"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub03a_Piero DisAbstractItemAudioLog";"m_Description";"134";"134";"""Piero descobre que seu maior rival em breve se unirá com os Legalistas.""";"""Piero descobre que seu rival mais amargo logo se juntará aos Legalistas.""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub04a_Callista DisAbstractItemAudioLog";"m_Description";"139";"139";"""Callista grava um relatório sobre a formação de Lady Emily.""";"""Callista registra um relatório sobre o treinamento da Lady Emily.""";"PT/Misto";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub04a_Callista DisAbstractItemAudioLog";"m_ItemName";"137";"137";"""Relatório do Progresso de Callista""";"""Relatório de Progresso de Callista""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub04a_Havelock DisAbstractItemAudioLog";"m_Description";"144";"144";"""O quarto Diário Militar de Havelock fala da campanha dos Legalistas.""";"""O quarto dos diários militares de Havelock que narram a campanha Legalista.""";"PT";"PT/Misto"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub04a_Havelock DisAbstractItemAudioLog";"m_ItemName";"142";"142";"""Diário de Havelock: Entrada 4""";"""Registro de Havelock: Entrada Quatro""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub04a_Pendleton DisAbstractItemAudioLog";"m_Description";"149";"149";"""Lorde Pendleton grava a história de sua vida.""";"""Lord Pendleton registra a história de sua vida.""";"Indeterminado";"Indeterminado"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub04a_Pendleton DisAbstractItemAudioLog";"m_ItemName";"147";"147";"""Memórias de Lorde Pendleton: Capitulo 41""";"""Memórias do Lorde Pendleton: Capítulo 41""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub04a_Piero DisAbstractItemAudioLog";"m_Description";"154";"154";"""Piero fala de suas frustrações com seu rival, Anton Sokolov.""";"""Piero fala sobre suas frustrações com seu rival, Anton Sokolov.""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub04a_Piero DisAbstractItemAudioLog";"m_ItemName";"152";"152";"""Piero fala de Sokolov""";"""Os Pensamentos de Piero sobre Sokolov""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub04b_Emily DisAbstractItemAudioLog";"m_Description";"159";"159";"""Emily grava suas lições.""";"""Emily grava suas aulas.""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub04b_Emily DisAbstractItemAudioLog";"m_ItemName";"157";"157";"""Lições de Emily""";"""Lições da Emily""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub04b_Pendleton DisAbstractItemAudioLog";"m_Description";"164";"164";"""Lorde Pendleton procura uma maneira de sair de uma confusão: Um duelo poderia ocasionar sua morte""";"""Lord Pendleton tenta conceber uma saída para uma armadilha, um duelo que pode muito bem levar à sua morte.""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub04b_Pendleton DisAbstractItemAudioLog";"m_ItemName";"162";"162";"""Pendleton preocupado com um duelo""";"""Pendleton Preocupa-se com um Duelo""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub04b_Piero DisAbstractItemAudioLog";"m_Description";"169";"169";"""Piero se acalma preparando um elogio a seu rival.""";"""Piero se acalma redigindo um elogio fúnebre para seu rival.""";"Indeterminado";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub04b_Samuel DisAbstractItemAudioLog";"m_Description";"174";"174";"""Samuel decide gravar um diário de capitão falando das suas viagens.""";"""Samuel decide gravar um diário de bordo documentando suas viagens.""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub04b_Samuel DisAbstractItemAudioLog";"m_ItemName";"172";"172";"""Samuel inicia um Diário""";"""Samuel Começa um Registro""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub05a_Callista DisAbstractItemAudioLog";"m_Description";"179";"179";"""Callista informa sobre o desafio de ter Lady Emily a seus cuidados.""";"""Callista relata os desafios de estar encarregada da Senhorita Emily.""";"PT/Misto";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub05a_Emily DisAbstractItemAudioLog";"m_Description";"184";"184";"""Emily fala de suas frustrações quanto ao estilo de lecionar de Callista.""";"""Emily desabafa suas frustrações com o estilo de ensino de Callista.""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub05a_Piero DisAbstractItemAudioLog";"m_Description";"189";"189";"""Piero teve alguns contratempos com o desenvolvimento de uma versão mais potente do Poste Arco.""";"""Piero luta com o design de uma nova versão poderosa do Pilar do Arco.""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub05a_Piero DisAbstractItemAudioLog";"m_ItemName";"187";"187";"""Poste Arco de Piero""";"""Pylon Arc de Piero""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub05b_Pendleton DisAbstractItemAudioLog";"m_Description";"194";"194";"""Lorde Pendleton juntamente com seu servo, tenta gravar outro capitulo da história de sua vida.""";"""Lord Pendleton repreende seu servo enquanto tenta gravar outro capítulo de sua história de vida.""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub05b_Samuel DisAbstractItemAudioLog";"m_Description";"199";"199";"""Samuel reflete sobre o trabalho que ele teve que desempenhar na definição de uma nova era para o império.""";"""Samuel reflete sobre o papel que desempenhou na formação de uma nova era para o Império.""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub05b_Samuel DisAbstractItemAudioLog";"m_ItemName";"197";"197";"""Samuel demonstra orgulho de seu papel.""";"""O Orgulho de Samuel em seu Papel""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub05bHC_Samuel DisAbstractItemAudioLog";"m_Description";"204";"204";"""Samuel tenta limpar sua consciência sobre o seu papel em várias mortes.""";"""Samuel tenta limpar sua consciência sobre o papel que desempenha em tantas mortes.""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub06a_Emily DisAbstractItemAudioLog";"m_Description";"209";"209";"""Emily lembra de alguns acontecimentos na sua estadia no Gato Dourado.""";"""Emily relembra alguns eventos de seu tempo no Gato Dourado.""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub06a_Pendleton DisAbstractItemAudioLog";"m_Description";"214";"214";"""Lorde Pendleton acha que os tempos difíceis estão apenas começando.""";"""Lord Pendleton entende que tempos difíceis estão apenas começando.""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub06a_Pendleton DisAbstractItemAudioLog";"m_ItemName";"212";"212";"""Pendleton planeja o futuro""";"""Pendleton Considera o Futuro""";"Indeterminado";"Indeterminado"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub06a_Piero DisAbstractItemAudioLog";"m_Description";"219";"219";"""Piero vê um futuro brilhante a sua frente.""";"""Piero vê um caminho para um futuro brilhante.""";"Indeterminado";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub06a_Piero DisAbstractItemAudioLog";"m_ItemName";"217";"217";"""Piero especula seu futuro""";"""Piero Especula Sobre Seu Futuro""";"Indeterminado";"Indeterminado"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Pub06aHC_Piero DisAbstractItemAudioLog";"m_Description";"224";"224";"""Piero vê que chegou em um ponto que não há volta, e é possível que haja um futuro incerto adiante.""";"""Piero vê que as coisas chegaram a um ponto sem retorno, e ele enfrenta um futuro incerto.""";"PT";"PT/Misto"
