"Origem";"Arquivo";"Codificacao";"BytesOriginais";"Status";"Destino"
"Tribo";"DLC06_Pckp_Heirlooms.int";"UTF-16 LE";"7614";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Pckp_Heirlooms.int"
"Tribo";"DLC06_Pckp_Maps.int";"UTF-16 LE";"832";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Pckp_Maps.int"
"Tribo";"DLC06_Proj_Flashsmoke.int";"UTF-16 LE";"486";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Proj_Flashsmoke.int"
"Tribo";"DLC06_Proj_SawProjectiles.int";"UTF-16 LE";"798";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Proj_SawProjectiles.int"
"Tribo";"DLC06_Pwn_Aristo_F_Timsh.int";"UTF-16 LE";"212";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Pwn_Aristo_F_Timsh.int"
"Tribo";"DLC06_Pwn_Assassin_Lieut.int";"UTF-16 LE";"854";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Pwn_Assassin_Lieut.int"
"Tribo";"DLC06_Pwn_Butcher.int";"UTF-16 LE";"226";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Pwn_Butcher.int"
"Tribo";"DLC06_Pwn_CleaverButcher_Base.int";"UTF-16 LE";"230";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Pwn_CleaverButcher_Base.int"
"Tribo";"DLC06_Pwn_Dead_NPCs.int";"UTF-16 LE";"708";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Pwn_Dead_NPCs.int"
"Tribo";"DLC06_Pwn_Laborer_F_1.int";"UTF-16 LE";"214";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Pwn_Laborer_F_1.int"
"Tribo";"DLC06_Pwn_Laborer_F_Ames.int";"UTF-16 LE";"212";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Pwn_Laborer_F_Ames.int"
"Tribo";"DLC06_Pwn_Laborer_MTall_1.int";"UTF-16 LE";"222";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Pwn_Laborer_MTall_1.int"
"Tribo";"DLC06_Pwn_MiddleClass_MTall_1.int";"UTF-16 LE";"228";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Pwn_MiddleClass_MTall_1.int"
"Tribo";"DLC06_Pwn_MTall_Rothwild.int";"UTF-16 LE";"286";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Pwn_MTall_Rothwild.int"
"Tribo";"DLC06_Pwn_MTall_Timsh.int";"UTF-16 LE";"786";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Pwn_MTall_Timsh.int"
"Tribo";"DLC06_Pwn_ThugWhiskey_MSmall_1.int";"UTF-16 LE";"236";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Pwn_ThugWhiskey_MSmall_1.int"
"Tribo";"DLC06_Pwn_Witch_Delilah.int";"UTF-16 LE";"244";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Pwn_Witch_Delilah.int"
"Tribo";"DLC06_RewireTool.int";"UTF-16 LE";"462";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_RewireTool.int"
"Tribo";"DLC06_SecuritySystems_twk.int";"UTF-16 LE";"8650";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_SecuritySystems_twk.int"
"Tribo";"DLC06_Slaughter_Ext_Assn.INT";"UTF-16 LE";"260";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Slaughter_Ext_Assn.INT"
"Tribo";"DLC06_Slaughter_Ext_P.INT";"UTF-16 LE";"1392";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Slaughter_Ext_P.INT"
"Tribo";"DLC06_Slaughter_Ext_Script.INT";"UTF-16 LE";"4518";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Slaughter_Ext_Script.INT"
"Tribo";"DLC06_Slaughter_Int_Assassin.INT";"UTF-16 LE";"260";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Slaughter_Int_Assassin.INT"
"Tribo";"DLC06_Slaughter_Int_Script.INT";"UTF-16 LE";"19336";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Slaughter_Int_Script.INT"
"Tribo";"DLC06_Slaughter_Int_Script2.INT";"UTF-16 LE";"7416";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Slaughter_Int_Script2.INT"
"Tribo";"DLC06_Slaughter_MS_Abst.int";"UTF-16 LE";"658";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Slaughter_MS_Abst.int"
"Tribo";"DLC06_Slaughter_Objectives.int";"UTF-16 LE";"19444";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Slaughter_Objectives.int"
"Tribo";"DLC06_Slaughter_Twk.int";"UTF-16 LE";"10028";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Slaughter_Twk.int"
"Tribo";"DLC06_Store_SeekFree.int";"UTF-16 LE";"198";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Store_SeekFree.int"
"Tribo";"DLC06_Timsh_Estate_P.INT";"UTF-16 LE";"986";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Timsh_Estate_P.INT"
"Tribo";"DLC06_Timsh_Estate_Scripts.INT";"UTF-16 LE";"16888";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Timsh_Estate_Scripts.INT"
"Tribo";"DLC06_Timsh_MS_Abst.int";"UTF-16 LE";"32916";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Timsh_MS_Abst.int"
"Tribo";"DLC06_Timsh_MS_Pawns.int";"UTF-16 LE";"3748";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Timsh_MS_Pawns.int"
"Tribo";"DLC06_Timsh_MS_Tweak.int";"UTF-16 LE";"8398";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Timsh_MS_Tweak.int"
"Tribo";"DLC06_Timsh_Objectives.int";"UTF-16 LE";"9716";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Timsh_Objectives.int"
"Tribo";"DLC06_Timsh_Streets_P.INT";"UTF-16 LE";"1462";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Timsh_Streets_P.INT"
"Tribo";"DLC06_Timsh_Streets_Scripts.INT";"UTF-16 LE";"9140";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Timsh_Streets_Scripts.INT"
"Tribo";"DLC06_Tower_Script.INT";"UTF-16 LE";"830";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Tower_Script.INT"
"Tribo";"DLC06_Traps_twk.int";"UTF-16 LE";"496";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Traps_twk.int"
"Tribo";"DLC06_Tutorials_twk.int";"UTF-16 LE";"1910";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Tutorials_twk.int"
"Tribo";"DLC06_Twk_Inv_GrenadeDaud.int";"UTF-16 LE";"1904";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Twk_Inv_GrenadeDaud.int"
"Tribo";"DLC06_Twk_Inv_PlayerSpecific.int";"UTF-16 LE";"966";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Twk_Inv_PlayerSpecific.int"
"Tribo";"DLC06_Twk_Player_Daud.int";"UTF-16 LE";"4812";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Twk_Player_Daud.int"
"Tribo";"DLC06_Twk_Powers_Assassummon.int";"UTF-16 LE";"6020";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Twk_Powers_Assassummon.int"
"Tribo";"DLC06_Twk_Store.int";"UTF-16 LE";"10930";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Twk_Store.int"
"Tribo";"DLC06_Twk_UI.int";"UTF-16 LE";"9432";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Twk_UI.int"
"Tribo";"DLC06_Twk_UI_MainMenu.int";"UTF-16 LE";"534";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Twk_UI_MainMenu.int"
"Tribo";"DLC06_Twk_Upgrades.int";"UTF-16 LE";"7826";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Twk_Upgrades.int"
"Tribo";"DLC06_WrittenNotes_twk.int";"UTF-16 LE";"74262";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_WrittenNotes_twk.int"
"Tribo";"DLC07_AudioGraph_Twk.int";"UTF-16 LE";"672";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC07_AudioGraph_Twk.int"
"Tribo";"DLC07_Base_Objectives.int";"UTF-16 LE";"1430";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC07_Base_Objectives.int"
"Tribo";"dlc07_baseintro_twk.int";"UTF-16 LE";"470";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\dlc07_baseintro_twk.int"
"Tribo";"DLC07_Blueprints_seekfree.int";"UTF-16 LE";"562";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC07_Blueprints_seekfree.int"
"Tribo";"DLC07_Blueprints_twk.int";"UTF-16 LE";"270";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC07_Blueprints_twk.int"
"Tribo";"DLC07_Brig_AbstInv_Seekfree.int";"UTF-16 LE";"18204";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC07_Brig_AbstInv_Seekfree.int"
"Tribo";"DLC07_Brig_AbstractInv_MS.int";"UTF-16 LE";"1102";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC07_Brig_AbstractInv_MS.int"
"Tribo";"DLC07_Brig_Void_MS.int";"UTF-16 LE";"608";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC07_Brig_Void_MS.int"
"Tribo";"DLC07_BrigLever.int";"UTF-16 LE";"4430";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC07_BrigLever.int"
"Tribo";"DLC07_Brigmore_Objectives.int";"UTF-16 LE";"11648";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC07_Brigmore_Objectives.int"
"Tribo";"DLC07_Brigmore_Void_FX.int";"UTF-16 LE";"688";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC07_Brigmore_Void_FX.int"
"Tribo";"DLC07_ChapterInfoList.int";"UTF-16 LE";"4290";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC07_ChapterInfoList.int"
"Tribo";"DLC07_ChapterNotes_twk.int";"UTF-16 LE";"25612";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC07_ChapterNotes_twk.int"
"Tribo";"DLC07_Coldridge_AbsInv_MS.int";"UTF-16 LE";"18456";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC07_Coldridge_AbsInv_MS.int"
"Tribo";"DLC07_Coldridge_MS.int";"UTF-16 LE";"6658";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC07_Coldridge_MS.int"
"Tribo";"DLC07_Coldridge_Objectives.int";"UTF-16 LE";"8364";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC07_Coldridge_Objectives.int"
"Tribo";"DLC07_DesignTemp.int";"UTF-16 LE";"216";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC07_DesignTemp.int"
