"Arquivo";"StatusArquivo";"ChavesTribo";"ChavesDeepSeek";"Iguais";"Diferentes";"SomenteTribo";"SomenteDeepSeek";"TriboPreenchidoDeepVazio";"TriboVazioDeepPreenchido";"AmbosPreenchidosDiferentes";"PT_Tribo_Heuristico";"PT_DeepSeek_Heuristico";"EN_Tribo_Heuristico";"EN_DeepSeek_Heuristico"
"DLC05_Countdown.int";"Diferen̤as para reviṣo";"4";"4";"2";"2";"0";"0";"0";"0";"2";"0";"1";"1";"0"
"DLC05_infiltrate01.int";"Diferen̤as para reviṣo";"7";"7";"3";"4";"0";"0";"0";"0";"4";"0";"1";"4";"0"
"DLC05_movable_twk.int";"Diferen̤as para reviṣo";"4";"4";"0";"4";"0";"0";"0";"0";"4";"0";"4";"0";"0"
"DLC05_MysteryMan.int";"Diferen̤as para reviṣo";"17";"17";"7";"10";"0";"0";"0";"0";"10";"0";"3";"5";"3"
"DLC05_race01.int";"Diferen̤as para reviṣo";"3";"3";"1";"2";"0";"0";"0";"0";"2";"0";"2";"2";"0"
"DLC05_TheThreeKeys.int";"Diferen̤as para reviṣo";"18";"18";"8";"10";"0";"0";"0";"0";"10";"0";"2";"10";"8"
"DLC05_Thief.int";"Diferen̤as para reviṣo";"27";"27";"13";"14";"0";"0";"0";"0";"14";"0";"8";"10";"0"
"DLC05_usable_twk.int";"Diferen̤as para reviṣo";"3";"3";"1";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0"
"DLC06_Assault_Objectives.int";"Diferen̤as para reviṣo";"84";"84";"40";"44";"0";"0";"0";"0";"44";"0";"22";"36";"0"
"DLC06_Attach_Butcher.int";"Id̻ntico";"18";"18";"18";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"DLC06_AudioGraph_Twk.int";"Diferen̤as para reviṣo";"18";"18";"6";"12";"0";"0";"0";"0";"12";"0";"12";"7";"0"
"DLC06_Blueprints_seekfree.int";"Diferen̤as para reviṣo";"12";"12";"4";"8";"0";"0";"0";"0";"8";"0";"6";"4";"0"
"DLC06_Blueprints_twk.int";"Diferen̤as para reviṣo";"4";"4";"0";"4";"0";"0";"0";"0";"4";"0";"2";"1";"0"
"DLC06_ChapterInfoList.int";"Diferen̤as para reviṣo";"12";"12";"3";"9";"0";"0";"0";"0";"9";"0";"6";"5";"0"
"DLC06_ChapterNotes_twk.int";"Diferen̤as para reviṣo";"84";"84";"30";"54";"0";"0";"0";"0";"54";"0";"42";"33";"0"
"DLC06_DaudBase_Script.INT";"Diferen̤as para reviṣo";"32";"32";"8";"24";"0";"0";"0";"0";"24";"0";"11";"2";"2"
"DLC06_DaudsBase_AbsInv_MS.int";"Diferen̤as para reviṣo";"15";"15";"5";"10";"0";"0";"0";"0";"10";"0";"8";"5";"0"
"DLC06_DaudsBase_MS.int";"Diferen̤as para reviṣo";"32";"32";"24";"8";"0";"0";"0";"0";"8";"0";"2";"2";"1"
"DLC06_DishonoredGameFull_P.INT";"Id̻ntico";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"DLC06_Intro_MS_Abst.int";"Diferen̤as para reviṣo";"3";"3";"0";"3";"0";"0";"0";"0";"3";"0";"0";"1";"0"
"DLC06_Intro_Objectives.int";"Diferen̤as para reviṣo";"7";"7";"3";"4";"0";"0";"0";"0";"4";"0";"2";"4";"0"
"DLC06_Inv_ArcMine.int";"Diferen̤as para reviṣo";"13";"13";"3";"10";"0";"0";"0";"0";"10";"0";"7";"3";"0"
"DLC06_Inv_CleaverButcher.int";"Diferen̤as para reviṣo";"2";"2";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"DLC06_Inv_NPC_Butcher.int";"Diferen̤as para reviṣo";"2";"2";"0";"2";"0";"0";"0";"0";"2";"0";"1";"0";"0"
"DLC06_Inv_SumAssassin.int";"Id̻ntico";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"DLC06_LocationMaps_Assets.int";"Diferen̤as para reviṣo";"80";"80";"64";"16";"0";"0";"0";"0";"16";"0";"8";"0";"0"
"DLC06_MissionStats.int";"Id̻ntico";"27";"27";"27";"0";"0";"0";"0";"0";"0";"0";"0";"11";"11"
"DLC06_Notes_Slaughter.int";"Diferen̤as para reviṣo";"78";"78";"30";"48";"0";"0";"0";"0";"48";"0";"35";"26";"0"
"DLC06_Pckp_Ammo.int";"Diferen̤as para reviṣo";"3";"3";"0";"3";"0";"0";"0";"0";"3";"0";"1";"0";"0"
"DLC06_Pckp_Heirlooms.int";"Diferen̤as para reviṣo";"28";"28";"3";"25";"0";"0";"0";"0";"25";"0";"21";"0";"0"
"DLC06_Pckp_Maps.int";"Diferen̤as para reviṣo";"3";"3";"0";"3";"0";"0";"0";"0";"3";"0";"2";"1";"0"
"DLC06_Proj_Flashsmoke.int";"Diferen̤as para reviṣo";"3";"3";"0";"3";"0";"0";"0";"0";"3";"0";"2";"1";"0"
"DLC06_Proj_SawProjectiles.int";"Id̻ntico";"12";"12";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"DLC06_Pwn_Aristo_F_Timsh.int";"Id̻ntico";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"DLC06_Pwn_Assassin_Lieut.int";"Diferen̤as para reviṣo";"4";"4";"1";"3";"0";"0";"0";"0";"3";"0";"0";"0";"0"
"DLC06_Pwn_Butcher.int";"Diferen̤as para reviṣo";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"DLC06_Pwn_CleaverButcher_Base.int";"Diferen̤as para reviṣo";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"DLC06_Pwn_Dead_NPCs.int";"Diferen̤as para reviṣo";"3";"3";"0";"3";"0";"0";"0";"0";"3";"0";"0";"0";"0"
"DLC06_Pwn_Laborer_F_1.int";"Diferen̤as para reviṣo";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"DLC06_Pwn_Laborer_F_Ames.int";"Id̻ntico";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"DLC06_Pwn_Laborer_MTall_1.int";"Diferen̤as para reviṣo";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"DLC06_Pwn_MiddleClass_MTall_1.int";"Diferen̤as para reviṣo";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"DLC06_Pwn_MTall_Rothwild.int";"Id̻ntico";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"DLC06_Pwn_MTall_Timsh.int";"Diferen̤as para reviṣo";"9";"9";"6";"3";"0";"0";"0";"0";"3";"0";"0";"2";"0"
"DLC06_Pwn_ThugWhiskey_MSmall_1.int";"Diferen̤as para reviṣo";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"DLC06_Pwn_Witch_Delilah.int";"Diferen̤as para reviṣo";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"1";"0"
"DLC06_RewireTool.int";"Diferen̤as para reviṣo";"3";"3";"0";"3";"0";"0";"0";"0";"3";"0";"3";"1";"0"
"DLC06_SecuritySystems_twk.int";"Diferen̤as para reviṣo";"84";"84";"44";"40";"0";"0";"0";"0";"40";"0";"21";"6";"0"
"DLC06_Slaughter_Ext_Assn.INT";"Id̻ntico";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"DLC06_Slaughter_Ext_P.INT";"Id̻ntico";"9";"9";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"DLC06_Slaughter_Ext_Script.INT";"Diferen̤as para reviṣo";"16";"16";"2";"14";"0";"0";"0";"0";"14";"0";"8";"2";"0"
"DLC06_Slaughter_Int_Assassin.INT";"Diferen̤as para reviṣo";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"DLC06_Slaughter_Int_Script.INT";"Diferen̤as para reviṣo";"75";"75";"34";"41";"0";"0";"0";"0";"41";"0";"37";"9";"6"
"DLC06_Slaughter_Int_Script2.INT";"Diferen̤as para reviṣo";"35";"35";"12";"23";"0";"0";"0";"0";"23";"0";"18";"4";"0"
"DLC06_Slaughter_MS_Abst.int";"Diferen̤as para reviṣo";"6";"6";"2";"4";"0";"0";"0";"0";"4";"0";"4";"2";"0"
"DLC06_Slaughter_Objectives.int";"Diferen̤as para reviṣo";"125";"125";"57";"68";"0";"0";"0";"0";"68";"0";"45";"55";"4"
"DLC06_Slaughter_Twk.int";"Diferen̤as para reviṣo";"67";"67";"13";"54";"0";"0";"0";"0";"54";"0";"35";"3";"0"
"DLC06_Store_SeekFree.int";"Diferen̤as para reviṣo";"3";"3";"1";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0"
"DLC06_Timsh_Estate_P.INT";"Id̻ntico";"6";"6";"6";"0";"0";"0";"0";"0";"0";"0";"0";"4";"4"
"DLC06_Timsh_Estate_Scripts.INT";"Diferen̤as para reviṣo";"67";"67";"25";"42";"0";"0";"0";"0";"42";"1";"23";"24";"8"
"DLC06_Timsh_MS_Abst.int";"Diferen̤as para reviṣo";"117";"117";"39";"78";"0";"0";"0";"0";"78";"3";"60";"49";"1"
"DLC06_Timsh_MS_Pawns.int";"Diferen̤as para reviṣo";"17";"17";"3";"14";"0";"0";"0";"0";"14";"0";"10";"0";"0"
"DLC06_Timsh_MS_Tweak.int";"Diferen̤as para reviṣo";"67";"67";"26";"41";"0";"0";"0";"0";"41";"0";"16";"8";"0"
"DLC06_Timsh_Objectives.int";"Diferen̤as para reviṣo";"64";"64";"29";"35";"0";"0";"0";"0";"35";"0";"27";"29";"0"
"DLC06_Timsh_Streets_P.INT";"Id̻ntico";"9";"9";"9";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5"
"DLC06_Timsh_Streets_Scripts.INT";"Diferen̤as para reviṣo";"32";"32";"5";"27";"0";"0";"0";"0";"27";"0";"15";"4";"0"
"DLC06_Tower_Script.INT";"Id̻ntico";"4";"4";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"DLC06_Traps_twk.int";"Diferen̤as para reviṣo";"6";"6";"4";"2";"0";"0";"0";"0";"2";"0";"1";"0";"0"
"DLC06_Tutorials_twk.int";"Diferen̤as para reviṣo";"20";"20";"14";"6";"0";"0";"0";"0";"6";"0";"4";"2";"0"
"DLC06_Twk_Inv_GrenadeDaud.int";"Diferen̤as para reviṣo";"20";"20";"14";"6";"0";"0";"0";"0";"6";"0";"0";"2";"0"
"DLC06_Twk_Inv_PlayerSpecific.int";"Diferen̤as para reviṣo";"4";"4";"0";"4";"0";"0";"0";"0";"4";"0";"2";"1";"0"
"DLC06_Twk_Player_Daud.int";"Id̻ntico";"23";"23";"23";"0";"0";"0";"0";"0";"0";"0";"0";"21";"21"
"DLC06_Twk_Powers_Assassummon.int";"Diferen̤as para reviṣo";"63";"63";"62";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"DLC06_Twk_Store.int";"Diferen̤as para reviṣo";"57";"57";"53";"4";"0";"0";"0";"0";"4";"0";"2";"33";"32"
"DLC06_Twk_UI.int";"Diferen̤as para reviṣo";"98";"98";"46";"52";"0";"0";"0";"0";"52";"0";"13";"9";"0"
"DLC06_Twk_UI_MainMenu.int";"Id̻ntico";"8";"8";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"DLC06_Twk_Upgrades.int";"Diferen̤as para reviṣo";"55";"55";"6";"49";"0";"0";"0";"0";"49";"0";"46";"20";"0"
"DLC06_WrittenNotes_twk.int";"Diferen̤as para reviṣo";"51";"51";"17";"34";"0";"0";"0";"0";"34";"0";"28";"24";"1"
"DLC07_AudioGraph_Twk.int";"Diferen̤as para reviṣo";"6";"6";"2";"4";"0";"0";"0";"0";"4";"0";"3";"1";"0"
"DLC07_Base_Objectives.int";"Diferen̤as para reviṣo";"10";"10";"4";"6";"0";"0";"0";"0";"6";"0";"3";"4";"0"
"dlc07_baseintro_twk.int";"Diferen̤as para reviṣo";"6";"6";"4";"2";"0";"0";"0";"0";"2";"0";"1";"0";"0"
"DLC07_Blueprints_seekfree.int";"Diferen̤as para reviṣo";"3";"3";"1";"2";"0";"0";"0";"0";"2";"0";"1";"1";"0"
"DLC07_Blueprints_twk.int";"Diferen̤as para reviṣo";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"DLC07_Brig_AbstInv_Seekfree.int";"Diferen̤as para reviṣo";"69";"69";"15";"54";"0";"0";"0";"0";"54";"0";"44";"30";"1"
"DLC07_Brig_AbstractInv_MS.int";"Diferen̤as para reviṣo";"13";"13";"8";"5";"0";"0";"0";"0";"5";"0";"1";"0";"0"
"DLC07_Brig_Void_MS.int";"Diferen̤as para reviṣo";"4";"4";"0";"4";"0";"0";"0";"0";"4";"0";"2";"1";"0"
"DLC07_BrigLever.int";"Diferen̤as para reviṣo";"47";"47";"30";"17";"0";"0";"0";"0";"17";"0";"5";"8";"0"
"DLC07_Brigmore_Objectives.int";"Diferen̤as para reviṣo";"77";"77";"35";"42";"0";"0";"0";"0";"42";"0";"25";"31";"2"
"DLC07_Brigmore_Void_FX.int";"Diferen̤as para reviṣo";"4";"4";"0";"4";"0";"0";"0";"0";"4";"0";"0";"2";"0"
"DLC07_ChapterInfoList.int";"Diferen̤as para reviṣo";"17";"17";"3";"14";"0";"0";"0";"0";"14";"0";"9";"9";"0"
"DLC07_ChapterNotes_twk.int";"Diferen̤as para reviṣo";"183";"183";"61";"122";"0";"0";"0";"0";"122";"0";"105";"46";"1"
"DLC07_Coldridge_AbsInv_MS.int";"Diferen̤as para reviṣo";"81";"81";"28";"53";"0";"0";"0";"0";"53";"0";"41";"29";"0"
"DLC07_Coldridge_MS.int";"Diferen̤as para reviṣo";"62";"62";"36";"26";"0";"0";"0";"0";"26";"0";"10";"4";"0"
"DLC07_Coldridge_Objectives.int";"Diferen̤as para reviṣo";"55";"55";"25";"30";"0";"0";"0";"0";"30";"0";"18";"20";"0"
"DLC07_DesignTemp.int";"Id̻ntico";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"DLC07_DraperMill_AbsInv_MS.int";"Diferen̤as para reviṣo";"33";"33";"11";"22";"0";"0";"0";"0";"22";"0";"16";"12";"0"
"DLC07_DraperMill_Twk.int";"Diferen̤as para reviṣo";"58";"58";"26";"32";"0";"0";"0";"0";"32";"0";"12";"3";"1"
"DLC07_DraperShip_Twk.int";"Diferen̤as para reviṣo";"10";"10";"2";"8";"0";"0";"0";"0";"8";"0";"4";"1";"0"
"DLC07_DraperStreet_Twk.int";"Diferen̤as para reviṣo";"25";"25";"7";"18";"0";"0";"0";"0";"18";"0";"8";"7";"0"
"DLC07_DrapersWard_Objectives.int";"Diferen̤as para reviṣo";"56";"56";"23";"33";"0";"0";"0";"0";"33";"0";"22";"30";"3"
"DLC07_DWEngineCoil_Objectives.int";"Diferen̤as para reviṣo";"37";"37";"18";"19";"0";"0";"0";"0";"19";"0";"15";"17";"0"
"DLC07_DWGeezer_Objectives.int";"Diferen̤as para reviṣo";"21";"21";"10";"11";"0";"0";"0";"0";"11";"0";"9";"9";"0"
"DLC07_DWSewer_AbsInv_MS.int";"Diferen̤as para reviṣo";"15";"15";"5";"10";"0";"0";"0";"0";"10";"0";"8";"5";"0"
"DLC07_DWSewer_Objectives.int";"Diferen̤as para reviṣo";"26";"26";"12";"14";"0";"0";"0";"0";"14";"0";"10";"13";"1"
"DLC07_DWSewer_Twk.int";"Diferen̤as para reviṣo";"27";"27";"13";"14";"0";"0";"0";"0";"14";"0";"7";"3";"0"
"DLC07_DWShip_MS_SeekFree.int";"Diferen̤as para reviṣo";"9";"9";"3";"6";"0";"0";"0";"0";"6";"0";"5";"4";"0"
"DLC07_DWStreets_AbsInv_MS.int";"Diferen̤as para reviṣo";"69";"69";"23";"46";"0";"0";"0";"0";"46";"0";"26";"30";"0"
"DLC07_GraveHound.int";"Diferen̤as para reviṣo";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"DLC07_Inv_Corvo.int";"Diferen̤as para reviṣo";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"DLC07_Inv_Daud.int";"Diferen̤as para reviṣo";"2";"2";"0";"2";"0";"0";"0";"0";"2";"0";"2";"1";"0"
"DLC07_Inv_Tentacle.int";"Id̻ntico";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"DLC07_Inv_Thug.int";"Diferen̤as para reviṣo";"3";"3";"0";"3";"0";"0";"0";"0";"3";"0";"3";"2";"0"
"DLC07_Inv_Witch.int";"Diferen̤as para reviṣo";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"DLC07_MissionStats.int";"Id̻ntico";"84";"84";"84";"0";"0";"0";"0";"0";"0";"1";"1";"7";"7"
"DLC07_Notes_DrapersWard.int";"Diferen̤as para reviṣo";"3";"3";"1";"2";"0";"0";"0";"0";"2";"0";"1";"2";"0"
"DLC07_NPCPlotSettings.int";"Diferen̤as para reviṣo";"2";"2";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0"
"DLC07_Pckp_CrackedBoneCharms.int";"Diferen̤as para reviṣo";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"DLC07_Pckp_Heirlooms.int";"Diferen̤as para reviṣo";"19";"19";"0";"19";"0";"0";"0";"0";"19";"0";"16";"0";"0"
"DLC07_Pwn_Civilian.int";"Diferen̤as para reviṣo";"2";"2";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"DLC07_Pwn_Corvo.int";"Id̻ntico";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"DLC07_Pwn_DeadPawns.int";"Diferen̤as para reviṣo";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"DLC07_Pwn_EdgarWakefield.int";"Id̻ntico";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"DLC07_Pwn_F_DeadEelThug.int";"Diferen̤as para reviṣo";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"DLC07_Pwn_Geezer.int";"Diferen̤as para reviṣo";"2";"2";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0"
"DLC07_Pwn_Gravehound.int";"Diferen̤as para reviṣo";"3";"3";"0";"3";"0";"0";"0";"0";"3";"0";"2";"0";"0"
"DLC07_Pwn_Laborer.int";"Diferen̤as para reviṣo";"3";"3";"0";"3";"0";"0";"0";"0";"3";"0";"3";"0";"0"
"DLC07_Pwn_LizzyStride.int";"Diferen̤as para reviṣo";"2";"2";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"DLC07_Pwn_MSmall_DeadEelThug.int";"Diferen̤as para reviṣo";"2";"2";"0";"2";"0";"0";"0";"0";"2";"0";"2";"0";"0"
"DLC07_Pwn_NurseTrimble.int";"Diferen̤as para reviṣo";"2";"2";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0"
"DLC07_Pwn_Prisoner.int";"Diferen̤as para reviṣo";"4";"4";"0";"4";"0";"0";"0";"0";"4";"0";"1";"0";"0"
"DLC07_Pwn_Tentacle.int";"Diferen̤as para reviṣo";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"DLC07_Pwn_Witch.int";"Diferen̤as para reviṣo";"2";"2";"0";"2";"0";"0";"0";"0";"2";"0";"1";"0";"0"
"DLC07_Pwn_Witch_Delilah.int";"Id̻ntico";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"DLC07_Store_SeekFree.int";"Diferen̤as para reviṣo";"3";"3";"1";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0"
"DLC07_Twk_Player_Daud.int";"Diferen̤as para reviṣo";"35";"35";"34";"1";"0";"0";"0";"0";"1";"0";"1";"33";"32"
"DLC07_Twk_Powers_Assassummon.int";"Id̻ntico";"62";"62";"62";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"DLC07_Twk_Store.int";"Id̻ntico";"84";"84";"84";"0";"0";"0";"0";"0";"0";"0";"0";"69";"69"
"DLC07_Twk_UI.int";"Diferen̤as para reviṣo";"112";"112";"56";"56";"0";"0";"0";"0";"56";"0";"14";"10";"0"
"DLC07_Twk_Upgrades.int";"Diferen̤as para reviṣo";"6";"6";"0";"6";"0";"0";"0";"0";"6";"0";"6";"3";"0"
"DLC07_usable_twk.int";"Diferen̤as para reviṣo";"13";"13";"5";"8";"0";"0";"0";"0";"8";"0";"2";"1";"0"
"DLC07_WrittenNotes_twk.int";"Diferen̤as para reviṣo";"94";"94";"35";"59";"0";"0";"0";"0";"59";"0";"53";"51";"0"
"doors_transition_twk.int";"Diferen̤as para reviṣo";"66";"66";"49";"17";"0";"0";"0";"6";"11";"0";"0";"0";"0"
